transaction_id,date_id,product_id,supplier_id,warehouse_id,transaction_type,quantity,unit_cost,actual_lead_days,return_defect_flag,notes
TXN0001,20240101,PROD001,SUP001,WH01,Receipt,120,649,8,N,
TXN0002,20240101,PROD003,SUP003,WH02,Receipt,60,1099,47,N,Late due to customs
TXN0003,20240201,PROD002,SUP002,WH01,Receipt,200,399,11,N,
TXN0004,20240201,PROD004,SUP006,WH03,Receipt,80,1799,41,Y,Cushion defect found on inspection
TXN0005,20240301,PROD006,SUP004,WH04,Receipt,150,549,6,N,
TXN0006,20240301,PROD005,SUP007,WH05,Receipt,90,499,13,N,
TXN0007,20240401,PROD009,SUP005,WH01,Receipt,50,899,30,N,
TXN0008,20240401,PROD007,SUP001,WH06,Receipt,300,229,7,N,
TXN0009,20240501,PROD008,SUP008,WH02,Receipt,40,799,62,Y,Frame crack reported; supplier notified
TXN0010,20240501,PROD010,SUP003,WH04,Receipt,55,1199,50,N,
TXN0011,20240601,PROD001,SUP001,WH01,Return,15,649,0,Y,Customer return - mechanism fault
TXN0012,20240601,PROD002,SUP002,WH03,Receipt,180,399,9,N,
TXN0013,20240701,PROD003,SUP003,WH05,Receipt,70,1099,44,N,
TXN0014,20240701,PROD006,SUP004,WH01,Receipt,120,549,5,N,
TXN0015,20240801,PROD004,SUP006,WH02,Return,10,1799,0,Y,Defective - cushion replaced
TXN0016,20240801,PROD009,SUP005,WH06,Receipt,45,899,33,N,
TXN0017,20240901,PROD005,SUP007,WH03,Receipt,75,499,14,N,
TXN0018,20240901,PROD008,SUP008,WH04,Receipt,35,799,58,Y,Ongoing frame quality issue
TXN0019,20241001,PROD010,SUP003,WH05,Receipt,60,1199,46,N,
TXN0020,20241001,PROD001,SUP001,WH01,Receipt,140,649,7,N,
TXN0021,20241101,PROD007,SUP001,WH06,Receipt,250,229,8,N,Holiday stock build
TXN0022,20241101,PROD003,SUP003,WH02,Receipt,85,1099,43,N,
TXN0023,20241201,PROD009,SUP005,WH01,Receipt,60,899,29,N,
TXN0024,20241201,PROD006,SUP004,WH04,Receipt,160,549,6,N,Holiday peak
TXN0025,20241201,PROD004,SUP006,WH03,Return,8,1799,0,Y,Return - color mismatch reported
